,Player,Pos,3P%,2P%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
324,Jordan McRae,SG,0.35700000000000004,0.433,0.5,2.9,2.5,0.6,0.4,1.2,2.0,11.5
325,Nicolò Melli,C,0.361,0.5920000000000001,0.7,2.3,1.3,0.6,0.4,0.8,2.0,6.8
326,De'Anthony Melton,PG,0.316,0.47,0.7,3.0,3.0,1.3,0.3,1.5,1.8,8.1
327,Chimezie Metu,PF,0.0,0.588,0.6,1.0,0.4,0.1,0.3,0.3,0.3,2.9
328,Khris Middleton,SF,0.418,0.547,0.7,5.5,4.1,0.9,0.1,2.1,2.2,21.1
329,Eric Mika,PF,,0.667,2.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0
330,C.J. Miles,SG,0.314,0.33299999999999996,0.4,0.8,1.2,1.0,0.4,0.4,1.4,6.4
331,Malcolm Miller,SF,0.316,0.4,0.0,0.5,0.3,0.2,0.1,0.1,0.5,0.9
332,Patty Mills,PG,0.38,0.529,0.3,1.3,1.8,0.8,0.1,0.8,1.6,11.7
333,Paul Millsap,PF,0.44,0.504,2.0,3.9,1.6,0.9,0.6,1.4,2.9,12.0
334,Shake Milton,SG,0.45299999999999996,0.541,0.3,1.8,2.2,0.6,0.2,1.2,2.2,9.5
335,Donovan Mitchell,SG,0.364,0.501,0.7,3.7,4.2,1.0,0.2,2.7,2.4,24.2
336,Naz Mitrou-Long,SG,0.182,0.8,0.0,2.0,2.3,0.3,0.3,0.7,0.3,4.7
337,Adam Mokoka,SG,0.4,0.462,0.6,0.3,0.4,0.4,0.0,0.2,1.5,2.9
338,Malik Monk,SG,0.284,0.542,0.5,2.4,2.1,0.5,0.3,1.4,1.3,10.3
339,Matt Mooney,SG,0.0,0.5,0.0,0.8,0.3,0.5,0.3,0.0,0.3,0.5
340,E'Twaun Moore,SG,0.375,0.456,0.6,1.8,1.4,0.5,0.2,0.7,1.5,8.6
341,Ja Morant,PG,0.36700000000000005,0.517,0.7,2.8,6.9,0.9,0.3,3.2,1.5,17.6
342,Juwan Morgan,PF,0.2,0.667,0.3,0.9,0.1,0.0,0.1,0.2,0.4,1.2
343,Marcus Morris,PF,0.41,0.451,1.0,4.1,1.4,0.8,0.5,1.6,2.9,17.4
344,Markieff Morris,PF,0.386,0.502,0.7,3.2,1.4,0.5,0.3,1.4,2.3,10.1
345,Monte Morris,PG,0.375,0.494,0.3,1.4,3.5,0.8,0.2,0.7,1.0,8.4
346,Johnathan Motley,PF,1.0,0.7140000000000001,0.2,0.5,0.6,0.2,0.0,0.4,0.5,2.2
347,Emmanuel Mudiay,PG,0.355,0.512,0.4,2.0,2.2,0.4,0.2,1.4,1.3,7.3
348,Mychal Mulder,SG,0.308,0.667,0.4,2.9,1.1,0.3,0.1,0.7,2.9,11.0
349,Dejounte Murray,PG,0.37799999999999995,0.494,1.2,4.6,4.1,1.7,0.3,1.9,2.2,10.7
350,Jamal Murray,PG,0.345,0.517,0.8,3.2,4.8,1.2,0.3,2.3,1.8,18.8
351,Džanan Musa,SF,0.231,0.473,0.5,1.5,0.9,0.4,0.0,0.8,0.7,4.2
352,Mike Muscala,C,0.358,0.5379999999999999,0.3,2.0,0.8,0.2,0.3,0.3,1.2,4.6
353,Sviatoslav Mykhailiuk,SF,0.40399999999999997,0.425,0.3,1.6,1.9,0.7,0.1,1.1,1.6,9.0
354,Abdel Nader,SF,0.371,0.53,0.3,1.6,0.7,0.4,0.4,0.8,1.4,6.0
355,Larry Nance Jr.,C,0.35200000000000004,0.636,1.9,5.4,2.2,1.0,0.4,1.1,1.6,10.1
356,Shabazz Napier,PG,0.32,0.518,0.5,2.4,5.0,1.3,0.2,2.2,1.8,10.3
357,Raul Neto,PG,0.39399999999999996,0.49,0.2,0.8,1.6,0.4,0.1,0.9,0.9,4.3
358,Malik Newman,SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
