,Player,PLAYER_ID,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area,Pos,3P%,2P%,TRB,AST,STL,BLK,TOV,PF,PTS
1482,Ron Mercer,1500.0,3.0,1.0,15.0,9.0,3.0,0.0,0.0,78.0,72.0,52.0,23.0,30.0,36.0,59.0,47.0,6.0,67.0,30.0,32.0,214.0,SG,0.2264,0.4208,2.96,1.96,0.8300000000000001,0.25,1.55,1.87,12.59
1483,Ronald Dupree,2648.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,1.0,5.0,1.0,2.0,4.0,0.0,4.0,6.0,12.0,55.0,SF,0.23600000000000002,0.394,1.5625,0.4,0.2375,0.08750000000000001,0.275,0.8374999999999999,1.925
1484,Rondae HollisJefferson,1626178.0,13.0,10.0,10.0,5.0,3.0,0.0,0.0,14.0,16.0,7.0,2.0,32.0,38.0,7.0,14.0,1.0,9.0,52.0,86.0,523.0,SF,0.2106,0.4718,5.62,1.86,0.98,0.56,1.2600000000000002,2.06,8.9
1485,Ronnie Brewer,200758.0,6.0,13.0,2.0,4.0,0.0,0.0,0.0,15.0,26.0,11.0,6.0,8.0,4.0,13.0,18.0,1.0,10.0,6.0,9.0,231.0,SF,0.21291666666666667,0.42461538461538456,2.228571428571428,1.25,0.964285714285714,0.15714285714285714,0.55,0.7642857142857143,5.128571428571427
1486,Ronnie Price,101179.0,5.0,2.0,11.0,7.0,5.0,1.0,0.0,0.0,2.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,4.0,2.0,27.0,PG,0.2788333333333333,0.3998333333333333,1.175,1.7500000000000002,0.7833333333333333,0.10000000000000002,0.8250000000000001,1.6083333333333334,3.4000000000000004
1487,Ronny Turiaf,101142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,7.0,7.0,8.0,9.0,2.0,16.0,8.0,15.0,181.0,C,0.0,0.5913636363636364,3.45,1.0833333333333333,0.4666666666666667,1.0333333333333334,0.7250000000000001,2.041666666666667,3.6333333333333333
1488,Roshown McLeod,1728.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,17.0,26.0,6.0,2.0,30.0,42.0,5.0,14.0,1.0,8.0,19.0,35.0,66.0,SF,0.08499999999999999,0.58125,3.0,1.15,0.45,0.125,1.425,2.275,7.175
1489,Roy Hibbert,201579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C,0.16428571428571428,0.4964545454545455,5.409090909090909,1.1181818181818182,0.3181818181818181,1.5090909090909093,1.3363636363636366,2.763636363636364,8.545454545454545
1490,Roy Rogers,964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,16.0,PF,0.0,0.402,2.0,0.2,0.1,1.0,0.3,0.9,2.2
1491,Royal Ivey,2767.0,0.0,4.0,2.0,5.0,1.0,0.0,0.0,27.0,13.0,18.0,4.0,5.0,3.0,8.0,16.0,0.0,15.0,13.0,25.0,102.0,SG,0.3329166666666667,0.3864166666666666,0.9583333333333336,0.775,0.4,0.05833333333333333,0.4,1.2666666666666666,2.641666666666667
1492,Royce ONeale,1626220.0,43.0,43.0,46.0,47.0,13.0,0.0,0.0,0.0,0.0,25.0,1.0,2.0,2.0,3.0,0.0,0.0,3.0,7.0,23.0,190.0,SF,0.377,0.525,4.066666666666666,1.8,0.6333333333333333,0.3,0.8333333333333334,2.1333333333333333,5.5
